Underlying Key,Underlying Symbol
BSE_INDEX|BANKEX,BANKEX
BSE_INDEX|SENSEX,SENSEX
BSE_INDEX|SENSEX50,SENSEX50
MCX_FO|435697,GOLD
MCX_FO|436580,SILVER
MCX_FO|436581,SILVERM
MCX_FO|438425,GOLD
MCX_FO|439487,SILVERM
MCX_FO|439488,SILVER
MCX_FO|440938,SILVERM
MCX_FO|440939,GOLD
MCX_FO|443449,CRUDEOIL
MCX_FO|443450,CRUDEOILM
MCX_FO|444205,NATURALGAS
MCX_FO|444206,NATGASMINI
MCX_FO|445003,GOLD
MCX_FO|445004,SILVER
MCX_FO|445825,CRUDEOIL
MCX_FO|445826,CRUDEOILM
MCX_FO|446265,NATURALGAS
MCX_FO|446266,NATGASMINI
MCX_FO|446488,COPPER
MCX_FO|446494,ZINC
MCX_FO|447552,CRUDEOIL
MCX_FO|447553,CRUDEOILM
MCX_FO|447849,NATURALGAS
MCX_FO|447850,NATGASMINI
MCX_FO|448155,COPPER
MCX_FO|448161,ZINC
MCX_FO|449534,GOLD
MCX_FO|450647,COPPER
MCX_FO|450652,ZINC
MCX_FO|450845,GOLDM
MCX_FO|451666,SILVER
MCX_FO|451669,SILVERM
MCX_FO|452845,COPPER
MCX_FO|452852,ZINC
MCX_FO|453231,GOLDM
MCX_FO|454818,GOLD
NSE_COM|121609,CRUDEOIL
NSE_COM|121641,NATURALGAS
NSE_COM|121744,NATURALGAS
NSE_COM|121776,GOLD
NSE_COM|121829,CRUDEOIL
NSE_COM|121840,SILVERM
NSE_COM|121894,SILVERM
NSE_COM|121911,NATURALGAS
NSE_COM|122007,COPPER
NSE_COM|122011,ZINC
NSE_COM|122090,SILVERM
NSE_COM|122150,SILVERM
NSE_COM|122168,COPPER
NSE_COM|122181,ZINC
NSE_COM|122393,COPPER
NSE_COM|122477,ZINC
NSE_COM|122514,SILVERM
NSE_COM|122833,COPPER
NSE_COM|122862,GOLD
NSE_COM|122978,ZINC
NSE_COM|123006,GOLDM
NSE_COM|123076,GOLD
NSE_COM|123594,GOLD
NSE_COM|124961,CRUDEOIL
NSE_COM|125045,GOLD
NSE_COM|125047,GOLDM
