Underlying Key,Underlying Symbol,LTP
BSE_INDEX|SENSEX,SENSEX,80796.84
NSE_EQ|INE498L01015,LTF,167.02
BSE_INDEX|BANKEX,BANKEX,62147.84
NSE_EQ|INE019A01038,JSWSTEEL,955.5
NSE_EQ|INE267A01025,HINDZINC,428.25
NSE_EQ|INE200M01039,VBL,538.75
NSE_INDEX|Nifty 50,NIFTY,24461.15
NSE_EQ|INE397D01024,BHARTIARTL,1866.0
NSE_EQ|INE663F01024,NAUKRI,7170.0
NSE_EQ|INE465A01025,BHARATFORG,1119.6
NSE_EQ|INE066F01020,HAL,4590.8
NSE_EQ|INE860A01027,HCLTECH,1568.6
NSE_EQ|INE059A01026,CIPLA,1542.9
NSE_EQ|INE139A01034,NATIONALUM,160.86
NSE_EQ|INE148O01028,DELHIVERY,305.65
NSE_EQ|INE931S01010,ADANIENSOL,937.2
NSE_EQ|INE591G01017,COFORGE,7496.5
NSE_EQ|INE044A01036,SUNPHARMA,1836.6
MCX_FO|452852,ZINC,0.0
MCX_FO|448161,ZINC,247.3
MCX_FO|446494,ZINC,246.05
NSE_COM|125045,GOLD,0.0
MCX_FO|443450,CRUDEOILM,4853.0
MCX_FO|447553,CRUDEOILM,4870.0
NSE_EQ|INE101D01020,GRANULES,461.75
MCX_FO|445826,CRUDEOILM,4854.0
NSE_INDEX|NIFTY MID SELECT,MIDCPNIFTY,12242.35
NSE_EQ|INE647A01010,SRF,2980.6
MCX_FO|452845,COPPER,0.0
MCX_FO|447552,CRUDEOIL,4855.0
MCX_FO|447850,NATGASMINI,351.2
MCX_FO|447849,NATURALGAS,351.5
NSE_EQ|INE540L01014,ALKEM,5085.5
NSE_COM|123006,GOLDM,0.0
NSE_EQ|INE259A01022,COLPAL,2621.0
MCX_FO|445825,CRUDEOIL,4845.0
MCX_FO|443449,CRUDEOIL,4853.0
MCX_FO|435697,GOLD,94569.0
NSE_EQ|INE530B01024,IIFL,359.45
NSE_EQ|INE093I01010,OBEROIRLTY,1625.1
NSE_EQ|INE018E01016,SBICARD,904.35
NSE_EQ|INE118H01025,BSE,6453.5
NSE_EQ|INE012A01025,ACC,1882.3
NSE_COM|125230,GOLD,0.0
NSE_COM|121776,GOLD,0.0
NSE_INDEX|Nifty Fin Service,FINNIFTY,26164.9
NSE_EQ|INE016A01026,DABUR,481.85
NSE_EQ|INE090A01021,ICICIBANK,1429.4
NSE_EQ|INE528G01035,YESBANK,17.73
BSE_INDEX|SENSEX50,SENSEX50,25546.35
NSE_EQ|INE726G01019,ICICIPRULI,612.2
MCX_FO|440939,GOLD,96000.0
MCX_FO|445003,GOLD,95500.0
NSE_EQ|INE205A01025,VEDL,419.5
NSE_EQ|INE121A01024,CHOLAFIN,1551.5
NSE_EQ|INE214T01019,LTIM,4621.2
NSE_EQ|INE180A01020,MFSL,1284.9
NSE_EQ|INE758T01015,ETERNAL,239.9
NSE_EQ|INE123W01016,SBILIFE,1769.9
NSE_INDEX|Nifty Bank,BANKNIFTY,54919.5
NSE_COM|123594,GOLD,0.0
MCX_FO|438425,GOLD,95261.0
NSE_EQ|INE883A01011,MRF,136120.0
NSE_COM|122862,GOLD,0.0
NSE_EQ|INE484J01027,GODREJPROP,2219.2
MCX_FO|445004,SILVER,99100.0
MCX_FO|440938,SILVERM,99264.0
NSE_COM|123076,GOLD,0.0
NSE_EQ|INE949L01017,AUBANK,678.6
NSE_EQ|INE053A01029,INDHOTEL,801.8
NSE_EQ|INE095N01031,NBCC,96.29
NSE_EQ|INE0J1Y01017,LICI,817.45
NSE_EQ|INE263A01024,BEL,315.3
NSE_EQ|INE742F01042,ADANIPORTS,1347.1
NSE_EQ|INE647O01011,ABFRL,262.9
NSE_EQ|INE136B01020,CYIENT,1204.8
NSE_COM|122011,ZINC,0.0
NSE_COM|121911,NATURALGAS,0.0
NSE_COM|122477,ZINC,0.0
NSE_COM|122150,SILVERM,0.0
NSE_COM|125047,GOLDM,0.0
NSE_COM|121641,NATURALGAS,0.0
NSE_COM|121829,CRUDEOIL,0.0
NSE_EQ|INE364U01010,ADANIGREEN,965.7
NSE_COM|121609,CRUDEOIL,4863.0
NSE_EQ|INE010B01027,ZYDUSLIFE,892.5
NSE_EQ|INE062A01020,SBIN,790.0
NSE_EQ|INE417T01026,POLICYBZR,1669.4
NSE_COM|3,SILVER,93888.0
NSE_COM|122007,COPPER,0.0
NSE_COM|122393,COPPER,0.0
NSE_COM|122833,COPPER,0.0
NSE_EQ|INE787D01026,BALKRISIND,2699.4
NSE_EQ|INE918I01026,BAJAJFINSV,2026.2
NSE_EQ|INE226A01021,VOLTAS,1240.3
NSE_EQ|INE021A01026,ASIANPAINT,2436.9
NSE_EQ|INE00R701025,DALBHARAT,1939.6
NSE_EQ|INE511C01022,POONAWALLA,387.9
NSE_EQ|INE176B01034,HAVELLS,1582.3
NSE_EQ|INE040A01034,HDFCBANK,1936.8
NSE_EQ|INE102D01028,GODREJCP,1262.1
NSE_COM|122978,ZINC,0.0
NSE_EQ|INE423A01024,ADANIENT,2455.5
NSE_EQ|INE079A01024,AMBUJACEM,541.4
NSE_COM|121894,SILVERM,0.0
NSE_COM|122090,SILVERM,0.0
NSE_EQ|INE775A01035,MOTHERSON,138.91
NSE_EQ|INE646L01027,INDIGO,5531.5
NSE_EQ|INE406A01037,AUROPHARMA,1242.0
